2019-12-14 16:20:45.6748 Info Loading Cardigann definition /app/Jackett/Definitions/xwtorrents.yml 
2019-12-14 16:20:45.6844 Info Loading Cardigann definition /app/Jackett/Definitions/torrent9clone.yml 
2019-12-14 16:20:45.6878 Info Loading Cardigann definition /app/Jackett/Definitions/unlimitz.yml 
2019-12-14 16:20:45.6925 Info Loading Cardigann definition /app/Jackett/Definitions/prostylex.yml 
2019-12-14 16:20:45.6977 Info Loading Cardigann definition /app/Jackett/Definitions/teamos.yml 
2019-12-14 16:20:45.7075 Info Loading Cardigann definition /app/Jackett/Definitions/x-ite.me.yml 
2019-12-14 16:20:45.7155 Info Loading Cardigann definition /app/Jackett/Definitions/btschool.yml 
2019-12-14 16:20:45.7247 Info Loading Cardigann definition /app/Jackett/Definitions/desitorrents.yml 
2019-12-14 16:20:45.7297 Info Loading Cardigann definition /app/Jackett/Definitions/piratbit.yml 
2019-12-14 16:20:45.7670 Info Loading Cardigann definition /app/Jackett/Definitions/shareuniversity.yml 
2019-12-14 16:20:45.7735 Info Loading Cardigann definition /app/Jackett/Definitions/ettv.yml 
2019-12-14 16:20:45.7776 Info Loading Cardigann definition /app/Jackett/Definitions/casstudiotv.yml 
2019-12-14 16:20:45.7917 Info Loading Cardigann definition /app/Jackett/Definitions/underverse.yml 
2019-12-14 16:20:45.8405 Info Loading Cardigann definition /app/Jackett/Definitions/mvgroupforum.yml 
2019-12-14 16:20:45.8455 Info Loading Cardigann definition /app/Jackett/Definitions/shokweb.yml 
2019-12-14 16:20:45.8495 Info Loading Cardigann definition /app/Jackett/Definitions/girotorrent.yml 
2019-12-14 16:20:45.8551 Info Loading Cardigann definition /app/Jackett/Definitions/firebit.yml 
2019-12-14 16:20:45.8566 Info Loading Cardigann definition /app/Jackett/Definitions/solidtorrents.yml 
2019-12-14 16:20:45.8566 Info Loading Cardigann definition /app/Jackett/Definitions/estrenosdtl.yml 
2019-12-14 16:20:45.8566 Info Loading Cardigann definition /app/Jackett/Definitions/beyond-hd.yml 
2019-12-14 16:20:45.8617 Info Loading Cardigann definition /app/Jackett/Definitions/dragonworldreloaded.yml 
2019-12-14 16:20:45.8707 Info Loading Cardigann definition /app/Jackett/Definitions/ilcorsaroblu.yml 
2019-12-14 16:20:45.8855 Info Loading Cardigann definition /app/Jackett/Definitions/sukebei-pantsu.yml 
2019-12-14 16:20:45.8855 Info Loading Cardigann definition /app/Jackett/Definitions/torrentdownload.yml 
2019-12-14 16:20:45.8906 Info Loading Cardigann definition /app/Jackett/Definitions/wihd.yml 
2019-12-14 16:20:45.8973 Info Loading Cardigann definition /app/Jackett/Definitions/beyond-hd-oneurl.yml 
2019-12-14 16:20:45.9032 Info Loading Cardigann definition /app/Jackett/Definitions/mvgroupmain.yml 
2019-12-14 16:20:45.9070 Info Loading Cardigann definition /app/Jackett/Definitions/ethor.yml 
2019-12-14 16:20:45.9120 Info Loading Cardigann definition /app/Jackett/Definitions/torrentsectorcrew.yml 
2019-12-14 16:20:45.9168 Info Loading Cardigann definition /app/Jackett/Definitions/torrentccf.yml 
2019-12-14 16:20:45.9200 Info Loading Cardigann definition /app/Jackett/Definitions/teamhd.yml 
2019-12-14 16:20:45.9251 Info Loading Cardigann definition /app/Jackett/Definitions/idope.yml 
2019-12-14 16:20:45.9302 Info Loading Cardigann definition /app/Jackett/Definitions/eniahd.yml 
2019-12-14 16:20:45.9414 Info Loading Cardigann definition /app/Jackett/Definitions/nyaasi.yml 
2019-12-14 16:20:45.9466 Info Loading Cardigann definition /app/Jackett/Definitions/asiandvdclub.yml 
2019-12-14 16:20:45.9497 Info Loading Cardigann definition /app/Jackett/Definitions/torrentland.yml 
2019-12-14 16:20:45.9530 Info Loading Cardigann definition /app/Jackett/Definitions/Bittorrentfiles.yml 
2019-12-14 16:20:45.9578 Info Loading Cardigann definition /app/Jackett/Definitions/trezzor.yml 
